"Respostas e iGovTI 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foram omitidas as respostas a alguns itens do questionário (questão 5.10, itens das questões 1.8, 4.3, 6.1, 6.2 e 6.3), com vistas a não identificar individualmente os respondentes, de acordo com o Acórdão 3.117/2014-TCU-Plenário, item 9.1.3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Instituição","DescSeg","iGovTI2014","11_a","11_b","11_c","11_d","11_e","11_f","12_a","12_b","12_c","12_d","13_a","13_b","13_c","13_d","14_a","14_b","14_c","14_d","15_a","15_b","15_c","15_d","15_e","16_a","17_a","17_b","17_c","17_d","17_e","18_a","18_b","18_c","18_d","18_e","18_f","21_a","21_b","21_c","21_d","21_e","21_f","21_g","21_h","21_i","21_j","22_a","22_b","22_c","22_d","22_e","22_f","22_g","22_h","22_i","22_j","31_a","31_b","31_c","31_d","32_a","32_b","32_c","32_d","32_e","32_f","32_g","32_h","32_i","41_a","41_b","41_c","41_d","41_e","41_f","41_g","41_h","42_a","42_b","42_c","43_b1","51_a","51_b","51_c","51_d","51_e","51_f","51_g","51_h","51_i","51_j","51_k","51_l","51_m","51_n","52_a","52_b","52_c","52_d","52_e","52_f","53_a","53_b","53_c","53_d","53_e","54_a","54_b","54_c","54_d","54_e","54_f","54_g","54_h","54_i","54_j","54_k","54_l","54_m","54_n","54_o","54_p","54_q","54_r","54_s","54_t","54_u","55_a","55_b","55_c","55_d","55_e","56_a","56_b","56_c","56_d","56_e","56_f","57_a","57_b","57_c","57_d","57_e","57_f","57_g","57_h","57_i","58_a","58_b","58_c","58_d","58_e","59_a","59_b","59_c","59_d","59_e","61_a3","61_a4","61_b3","61_b4","61_c3","61_c4","61_d3","61_d4","61_e3","61_e4","62_a","62_b","621_a4","621_a5","621_b4","621_b5","621_c4","621_c5","621_d4","621_d5","621_e4","621_e5","622_a5","622_a6","622_b5","622_b6","622_c5","622_c6","622_d5","622_d6","622_e5","622_e6","63_a3","63_a4","63_b3","63_b4","63_c3","63_c4","63_d3","63_d4","63_e3","63_e4","64_a","64_b","64_c","64_d","64_e","64_f","64_g","64_h","Utilidade"
80,"Executivo - Sisp",49%,4,4,5,5,2,4,3,4,4,4,3,3,3,3,3,4,2,4,4,4,4,4,5,5,4,3,3,3,3,2,2,5,2,4,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,3,3,3,3,3,3,4,5,3,5,3,3,3,4,3,3,3,3,3,5,4,4,4,4,3,3,4,4,5,5,,3,3,3,3,3,3,4,3,4,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,4,3,4,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,5,5,5,3,5,4,5,5,5,3,4,4,4,3,3,4,5,5,4,1,100,4,100,22,10,10,0,350,0,1,,10,,0,,0,,,,,,,,,,,,,,,,1,100,1,100,1,100,1,100,1,100,4,3,3,3,3,3,3,3,5
81,"Executivo - Dest",55%,5,2,5,5,5,2,5,5,5,5,5,5,5,3,2,2,2,2,2,3,5,5,2,2,3,2,4,3,5,2,2,2,2,2,2,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,2,5,2,2,2,2,2,4,5,5,4,5,5,4,2,5,5,2,,3,2,2,2,4,2,4,2,4,4,4,2,4,2,3,3,3,3,3,3,2,2,2,2,2,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,4,2,5,4,5,5,4,5,4,4,4,4,2,5,5,5,4,5,4,5,2,4,4,4,2,2,5,5,4,2,2,2,,,,,,,,,,,1,1,15,0,10,0,,,,,,,100,10,100,0,100,0,,,,,,,,,,,,,,,4,4,4,4,4,2,2,5,5
82,"Executivo - Sisp",46%,4,5,5,5,2,2,3,5,4,4,5,3,5,5,2,2,2,5,4,4,5,5,5,4,3,3,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,3,4,3,5,2,2,2,5,2,2,2,2,4,4,4,4,3,3,4,4,3,2,5,2,1,2,2,4,3,2,2,4,4,2,2,3,2,4,2,4,3,3,5,5,4,4,2,2,2,2,3,2,3,3,4,5,5,3,2,4,3,2,4,2,4,2,2,2,2,3,2,3,4,4,3,2,3,3,2,2,2,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,100,100,30,30,100,100,100,100,1,,100,0,,,,,,,,,,,,,,,,,,,100,100,100,100,,,,,,,5,3,3,5,5,3,3,5,4
83,"Executivo - Sisp",35%,5,5,5,5,2,2,2,4,4,4,5,2,2,2,2,2,2,2,2,4,5,5,5,2,2,2,2,2,2,5,2,2,2,2,2,5,5,5,4,5,5,4,4,5,5,5,4,2,5,5,4,2,5,4,4,5,5,2,2,2,2,2,5,2,1,2,2,2,5,2,5,2,2,5,5,2,2,2,2,1,2,2,2,2,4,5,2,2,4,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,5,4,5,2,2,2,2,2,2,2,4,2,2,2,2,5,2,2,4,2,3,3,2,2,3,3,4,5,2,4,4,2,4,4,5,2,4,2,2,2,5,5,4,2,5,100,70,100,30,100,20,100,100,,,1,,,100,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,2,2,2,5,5
84,"Executivo - Sisp",13%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,3,3,2,2,2,3,3,5,2,2,100,100,100,50,1,100,1,100,,,,1,,,,,,,,,,,100,0,100,0,,,,,,,100,97,89,98,100,100,,,,,4,4,3,3,2,2,2,5,5
85,"Executivo - Sisp",17%,4,2,2,2,2,2,3,5,4,4,5,2,5,3,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,5,3,2,4,2,2,2,2,2,5,4,3,2,2,2,2,1,3,3,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,5,3,3,3,5,5,2,2,2,2,3,2,3,4,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,5,5,5,2,5,4,5,5,5,2,4,2,2,5,5,5,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,2,2,2,4,4
86,"Executivo - Sisp",59%,4,5,4,3,2,2,4,5,5,5,4,3,5,3,3,3,3,2,5,5,5,5,2,2,2,2,3,4,4,2,2,2,2,2,2,5,5,5,2,4,5,5,5,4,2,5,5,5,5,5,5,5,4,4,5,5,5,5,4,3,3,3,5,3,4,4,3,3,4,5,5,5,4,5,5,5,5,5,5,,4,4,3,2,3,2,3,2,3,2,4,4,3,2,4,2,2,3,3,3,3,3,3,3,2,5,5,4,4,4,4,3,3,2,3,3,2,3,2,3,2,4,4,5,3,5,4,3,3,3,5,4,4,4,4,3,3,4,5,3,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,5,40,70,70,90,20,100,50,90,30,20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,2,2,4,4
87,"Executivo - Sisp",39%,2,4,2,2,2,2,2,5,5,5,2,4,5,5,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,3,5,3,2,3,3,2,3,2,2,4,5,5,2,5,4,5,5,4,4,2,4,2,2,5,2,2,4,4,2,2,2,2,4,5,3,5,3,4,4,5,5,5,5,,4,2,4,2,2,2,4,2,2,2,4,2,4,2,2,5,2,5,5,2,2,2,2,2,2,5,5,5,2,2,2,2,2,2,4,4,2,4,2,4,5,4,2,2,2,5,1,1,1,1,1,4,4,4,2,2,2,5,5,4,4,5,5,5,5,2,4,5,4,2,2,3,5,4,4,4,1,36,84,,,,,,,,,,1,,,,,,,,,,,100,,100,,100,,,,,,1,100,1,100,1,100,1,100,,,4,4,4,4,2,2,2,5,5
88,"Executivo - Sisp",52%,1,5,4,5,2,2,5,5,5,5,2,3,3,2,4,2,2,2,4,4,5,5,2,2,2,4,2,2,2,5,5,4,4,5,2,5,5,5,2,5,2,2,2,3,5,5,5,5,5,5,4,5,5,2,5,5,4,5,2,5,2,2,5,2,5,5,2,2,5,5,5,5,4,5,5,5,5,5,5,,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,3,3,2,3,2,2,2,2,2,2,3,3,2,3,3,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,5,2,4,4,4,4,2,2,5,5,5,5,5,4,5,4,4,3,5,2,2,3,2,4,2,2,2,100,100,100,100,100,100,100,100,,,1,1,57,20,50,20,60,10,,,,,100,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,,,,,4,3,3,3,2,4,2,3,5
89,"Executivo - Sisp",64%,5,5,5,5,3,4,4,5,5,5,5,4,4,4,3,2,2,4,4,4,2,3,4,3,2,2,4,2,4,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,4,4,4,5,3,3,5,3,5,1,3,4,4,5,4,5,5,5,5,2,4,4,2,1,4,3,4,2,4,2,2,2,4,2,3,2,4,2,3,4,4,4,5,5,4,4,4,3,3,4,5,3,4,5,4,3,4,3,3,4,3,4,3,4,3,4,3,2,2,3,5,5,5,4,4,4,4,3,3,3,2,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,100,3,67,1,100,7,100,1,100,,1,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,3,67,1,0,1,100,1,100,1,100,4,4,5,5,3,3,2,5,5
90,"Executivo - Sisp",78%,5,5,5,5,3,3,5,5,5,5,5,4,5,4,4,3,5,3,4,4,4,5,3,5,5,4,2,3,5,2,2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,5,2,5,3,5,5,5,5,5,5,5,5,5,5,1,4,2,4,3,2,2,5,3,5,3,4,3,2,2,4,4,4,4,4,4,4,4,4,3,2,3,5,3,5,5,5,2,3,3,3,3,4,4,3,4,3,4,3,2,5,4,4,4,4,4,3,5,5,5,5,3,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,85,2,90,3,90,4,70,5,95,1,,90,0,90,0,90,0,80,0,100,0,,,,,,,,,,,1,100,2,100,3,100,4,100,5,100,5,4,4,4,2,4,2,5,5
91,"Executivo - Sisp",59%,4,5,5,5,2,2,5,5,5,5,5,5,5,4,2,2,2,2,4,4,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,4,5,5,5,4,5,5,5,3,3,3,3,3,3,4,4,5,5,3,3,2,5,2,5,2,2,4,4,5,5,5,5,5,5,2,5,5,5,,4,2,4,2,4,2,4,2,4,2,5,5,5,2,4,4,4,4,4,4,2,2,2,2,2,5,5,5,4,2,2,2,5,1,4,2,2,4,2,4,2,5,5,5,4,2,3,3,3,2,3,2,4,4,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,2,2,92,99,11,95,99,39,100,0,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,97,98,93,97,98,93,97,98,19,97,99,97,97,98,85,5,4,4,4,2,2,2,5,4
92,"Executivo - Sisp",30%,5,5,2,2,2,2,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,5,3,2,2,2,2,2,3,3,5,5,3,2,2,2,2,2,2,2,2,2,3,2,2,5,5,5,5,2,2,3,5,5,4,3,5,5,2,5,5,5,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,3,5,5,2,2,4,2,2,2,2,2,2,2,2,4,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,3,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,150,0,1000,100,,,,,,,1,,0,100,0,100,,,,,,,,,,,,,,,,,100,95,100,95,100,95,,,,,5,4,4,4,2,2,2,5,5
93,"Executivo - Sisp",29%,3,2,3,5,3,1,3,5,3,3,2,3,3,3,2,2,2,4,2,3,3,3,2,3,2,2,3,3,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,3,3,3,2,2,3,3,2,3,3,3,4,4,4,2,2,2,5,2,2,2,2,2,3,2,3,3,3,3,3,4,2,4,1,,4,2,3,2,3,2,3,2,3,2,5,2,4,2,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,2,4,2,4,2,4,2,2,3,2,5,4,4,4,4,2,4,5,2,2,2,5,5,5,4,3,5,5,5,5,4,5,4,3,2,3,5,5,4,2,100,100,100,100,100,92,100,100,,,1,,0,30,0,30,0,30,0,50,,,,,,,,,,,,,100,99,100,99,100,98,100,95,100,100,4,5,5,5,3,2,2,4,4
94,"Executivo - Sisp",25%,2,4,2,2,2,2,3,5,4,4,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,2,3,2,3,3,3,3,3,3,2,2,4,2,2,5,2,5,2,2,2,2,2,2,2,2,2,2,2,5,5,2,,4,5,4,2,5,2,4,2,3,2,5,2,4,2,2,5,4,5,5,5,4,4,4,5,2,2,2,2,2,2,3,2,2,2,2,3,2,5,2,5,2,5,2,2,2,2,4,2,2,4,2,2,4,4,2,2,2,4,5,4,2,5,5,5,5,4,5,5,2,2,2,5,5,5,5,5,,,,,,,,,,,1,,90,10,,,,,,,,,,,,,,,,,,,100,100,100,100,,,,,,,4,2,2,2,2,2,2,4,5
95,"Executivo - Sisp",62%,5,4,5,4,2,4,4,5,5,5,4,2,5,5,4,3,3,3,2,2,2,2,2,3,5,5,2,5,5,2,2,2,3,4,4,5,5,5,2,5,2,2,5,4,5,5,5,5,3,5,4,5,5,2,5,3,5,5,4,4,2,2,5,2,4,5,2,2,2,5,5,4,2,5,5,2,5,5,5,1,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,4,4,3,4,3,5,5,5,5,4,5,5,5,5,3,4,3,4,3,5,4,5,4,5,5,2,4,4,3,4,3,4,4,4,3,3,4,5,5,4,4,5,5,5,5,5,5,5,4,2,5,5,5,4,2,5,100,60,100,100,100,100,100,100,100,100,1,1,98,20,40,0,50,0,40,0,0,0,100,0,100,0,100,0,100,0,0,0,100,100,100,100,100,100,100,100,100,85,4,5,4,5,3,2,2,4,5
96,"Executivo - Sisp",25%,5,5,3,3,2,2,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,3,3,3,5,5,5,5,5,5,4,4,5,5,2,2,2,2,4,2,4,2,2,4,4,4,4,3,5,5,3,4,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,3,3,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,5,2,2,4,4,4,3,3,3,3,3,3,3,2,3,2,3,2,2,2,3,2,2,2,4,2,2,2,2,2,2,2,4,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,1,80,2,60,3,100,4,100,5,30,1,,70,30,100,0,,,,,,,,,,,,,,,,,1106,70,1106,100,,,,,,,5,5,5,5,5,2,2,4,5
97,"Executivo - Sisp",20%,2,5,2,4,2,3,4,2,2,2,3,2,2,2,2,2,2,3,3,3,2,2,3,4,2,2,3,3,3,4,3,2,2,2,3,3,5,5,5,5,5,5,5,5,3,4,4,2,3,5,4,3,3,3,4,3,4,2,2,4,4,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,1,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,2,2,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,4,3,2,2,2,2,2,2,4,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,10,0,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,100,70,10,0,15,0,,,4,3,3,3,3,3,3,3,4
98,"Executivo - Sisp",40%,5,5,4,2,2,2,5,5,5,5,5,5,5,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,2,4,4,2,4,2,5,5,5,5,5,5,3,3,4,3,5,5,5,5,4,5,5,5,3,5,5,4,4,3,3,5,3,3,5,2,2,2,2,2,4,2,2,2,2,2,2,2,4,4,4,,4,3,3,3,3,3,2,2,2,2,5,5,2,2,3,3,3,3,3,3,5,5,5,5,3,5,5,5,3,5,4,2,3,3,4,5,3,5,2,3,2,5,5,5,5,5,4,3,3,4,3,5,3,3,3,3,2,4,5,4,5,3,4,4,5,5,5,5,4,3,4,2,4,2,2,5,2,0,2,0,17,80,21,0,,,1,,70,0,0,100,0,100,80,0,100,0,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,2,2,4,5
99,"Executivo - Sisp",21%,2,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,2,3,3,3,3,3,3,3,4,2,2,3,3,3,4,4,4,3,5,2,3,3,3,3,3,3,3,4,2,4,2,1,3,3,4,2,3,3,4,3,4,2,4,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,4,2,2,2,4,3,2,4,2,4,2,3,2,2,2,3,4,3,2,4,2,3,3,3,3,3,3,4,5,3,3,3,4,4,2,5,3,3,3,3,2,4,4,2,2,2,,,,,,,,,,,1,1,14,0,58,0,8,0,8,0,3,0,100,0,100,0,100,0,100,0,100,0,,,,,,,,,,,3,3,3,3,3,3,3,2,5
100,"Executivo - Sisp",25%,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,2,2,2,2,2,2,2,3,4,2,5,2,2,2,2,2,2,2,2,2,5,5,5,5,5,3,3,5,2,2,2,,3,2,3,2,2,2,3,5,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,3,3,3,3,3,5,3,4,3,4,4,3,4,4,2,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,4,4,5,5
101,"Executivo - Sisp",68%,4,5,5,4,3,4,5,5,5,5,5,4,5,4,3,3,4,3,4,4,5,5,5,4,5,5,5,5,5,3,4,4,4,4,4,5,5,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,2,5,4,5,5,5,5,5,2,4,4,3,5,5,1,4,5,1,,3,3,3,3,3,3,4,4,2,2,2,2,2,2,3,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,3,3,3,3,3,5,5,5,5,5,3,5,3,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,50,4,100,20,85,5,100,20,90,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,3,3,3,3,5
102,"Executivo - Sisp",45%,5,5,4,2,2,4,5,5,5,5,5,4,4,4,3,2,2,2,3,3,3,3,4,4,4,4,2,2,4,2,2,2,2,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,5,5,5,4,2,2,2,2,2,5,3,3,2,2,2,2,3,2,4,4,,3,3,3,2,2,2,3,2,3,2,3,2,3,2,3,3,3,3,3,2,2,2,2,2,2,4,2,2,4,3,2,2,2,2,3,2,2,2,2,4,2,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,2,4,5,5,5,2,5,5,4,5,5,5,4,3,4,5,5,4,3,5,6,83,33,100,100,4,150,4,75,100,100,1,,74,71,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,4,4,2,2,5
103,"Executivo - Sisp",18%,5,5,4,1,2,1,2,3,1,1,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,5,4,5,5,4,4,4,4,4,4,2,4,4,3,3,3,4,3,4,4,3,3,4,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,2,2,2,2,2,2,4,2,4,2,4,3,5,3,2,3,4,4,2,2,4,4,4,2,3,2,5,5,5,4,4,4,4,4,2,2,2,3,2,2,2,2,2,2,2,,,,,,,,,,,1,,0,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,4,2,2,2,4
104,"Executivo - Sisp",32%,5,5,5,2,2,5,4,5,5,5,5,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,3,3,3,3,3,3,3,5,4,5,2,5,3,4,4,4,2,4,4,4,2,5,4,3,5,2,2,2,2,5,2,5,4,4,4,4,4,2,2,2,1,1,3,3,4,2,2,2,4,2,4,2,4,2,4,2,3,2,2,2,2,2,2,2,2,2,2,3,5,3,4,2,4,4,2,2,2,3,2,4,2,4,2,2,2,2,4,2,5,4,4,4,3,3,4,4,4,2,2,4,4,3,3,3,5,5,5,5,4,4,3,3,3,5,5,5,5,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,4,4,2,2,2,4
105,"Executivo - Sisp",46%,3,5,4,4,3,2,3,5,4,5,5,5,4,4,3,3,3,3,4,3,2,2,3,4,4,3,3,2,1,3,2,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,3,4,5,2,5,4,4,5,5,5,5,5,2,2,2,3,2,2,3,2,5,2,5,2,1,3,3,3,3,2,2,3,3,3,3,3,3,3,3,4,4,5,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,2,3,2,3,3,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,1,70,2,0,3,100,4,100,5,80,1,,0,0,70,30,80,10,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,4,2,1,2,4
106,"Executivo - Sisp",58%,5,5,5,5,5,5,5,5,3,3,4,3,3,4,3,4,3,4,4,4,4,4,3,4,4,4,4,3,4,3,4,3,3,5,5,5,5,5,2,5,5,5,5,5,2,5,4,5,5,3,5,4,3,4,3,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,5,4,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,20,4,20,2,20,0,20,0,20,20,1,,30,70,0,100,,,,,,,,,,,,,,,,,20,6,20,0,20,20,20,20,,,5,4,4,4,4,4,4,5,5
107,"Executivo - Sisp",52%,4,5,5,5,2,5,4,4,5,4,3,4,3,3,4,4,2,4,4,4,4,4,4,4,2,2,3,4,5,2,2,2,2,2,5,4,5,4,5,5,5,5,5,4,5,3,3,3,3,3,3,3,3,3,3,4,4,2,4,3,3,3,5,4,4,3,4,2,5,5,5,4,4,2,4,5,5,5,5,1,2,2,2,2,2,2,2,2,2,2,4,2,4,2,4,2,4,4,5,4,5,5,2,4,2,4,4,2,4,5,5,5,4,4,4,4,2,4,2,4,4,4,4,4,4,2,5,4,4,4,4,2,2,2,2,2,2,5,5,5,5,4,5,5,5,3,4,5,5,5,3,3,3,3,3,3,77,100,100,75,100,100,100,100,,,1,1,77,0,77,0,100,0,100,0,,,100,0,100,0,100,0,100,0,100,0,77,100,100,100,100,75,100,60,,,4,2,2,2,4,2,2,4,5
108,"Executivo - Sisp",25%,2,2,2,2,2,2,2,5,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,4,5,5,5,5,5,2,4,4,2,5,4,4,5,5,5,5,2,2,2,2,2,4,2,2,5,2,2,5,2,5,2,2,2,2,4,4,2,2,4,2,5,2,2,2,,2,2,4,2,4,2,4,2,4,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,2,2,2,2,2,2,4,2,4,2,4,2,2,4,2,4,2,2,5,4,2,2,2,2,2,2,5,5,2,4,2,4,4,5,5,2,2,2,2,2,4,5,4,4,5,70,70,100,95,100,100,100,100,80,80,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,2,2,2,2,5,4
109,"Executivo - Sisp",44%,5,5,4,5,2,1,5,5,5,5,5,4,5,4,3,3,3,3,1,1,1,1,2,5,5,5,4,4,5,4,3,4,3,3,4,5,5,3,5,5,4,4,4,5,5,5,5,5,5,5,5,4,5,1,5,4,5,3,2,5,5,4,5,5,5,5,3,2,2,2,2,2,2,2,2,1,2,2,1,,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,3,5,5,3,3,3,3,5,2,5,5,4,5,2,4,5,4,5,4,4,4,4,4,3,3,3,3,3,29,50,29,30,20,50,,,,,1,1,0,0,0,0,100,0,100,0,,,100,0,100,0,,,,,,,0,0,0,0,,,,,,,4,2,2,2,2,2,2,5,4
